type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
16,2023-01-13 14:07:31+0000,1406,0.0,1.800000071525574,0.0,0.0,100.0
16,2023-01-12 11:24:55+0000,826,0.0,1.800000071525574,0.0,0.0,53.0
16,2023-01-10 13:10:43+0000,1923,0.0,1.800000071525574,0.0,0.0,241.0
49,2023-01-10 12:13:08+0000,2633,0.0,1.800000071525574,0.0,0.0,480.0
16,2023-01-09 12:10:08+0000,5805,0.0,1.800000071525574,0.0,0.0,366.0
1,2023-01-08 08:55:03+0000,1808,188.0,0.1864215284585953,5317.0,0.339,403.0
16,2023-01-07 14:41:21+0000,2552,0.0,1.800000071525574,0.0,0.0,224.0
49,2023-01-07 14:02:02+0000,1420,0.0,1.800000071525574,0.0,0.0,299.0
16,2023-01-05 11:42:23+0000,839,0.0,1.800000071525574,0.0,0.0,72.0
23,2023-01-05 11:10:20+0000,1832,0.0,1.800000071525574,0.0,0.0,195.0
16,2023-01-03 13:05:00+0000,1151,0.0,1.800000071525574,0.0,0.0,110.0
49,2023-01-03 12:16:16+0000,1625,0.0,1.800000071525574,0.0,0.0,309.0
16,2023-01-02 13:34:06+0000,4626,0.0,1.800000071525574,0.0,0.0,465.0
1,2023-01-01 08:18:14+0000,1315,192.0,0.1922964006662369,3911.0,0.336,232.0
16,2022-12-31 08:26:39+0000,4407,0.0,1.800000071525574,0.0,0.0,383.0
16,2022-12-29 10:55:50+0000,1274,0.0,1.800000071525574,0.0,0.0,190.0
49,2022-12-27 11:57:49+0000,1636,0.0,1.800000071525574,0.0,0.0,159.0
16,2022-12-26 12:00:48+0000,1671,0.0,1.800000071525574,0.0,0.0,115.0
16,2022-12-26 11:59:04+0000,92,0.0,1.800000071525574,0.0,0.0,6.0
1,2022-12-25 08:34:11+0000,3846,221.0,0.2213305681943893,10492.0,0.366,677.0
16,2022-12-24 08:31:42+0000,3513,0.0,1.800000071525574,0.0,0.0,396.0
