"hr","accel_x","accel_y","accel_z","skin_temp","ts"
76,-0.016467284,0.95164794,0.26768798,280,"2022-12-09T12:34:38.774Z"
85,0.06778809,0.8636865,0.46422362,289,"2022-12-09T12:35:39.336Z"
89,0.93414795,-0.38835448,-0.1510962,294,"2022-12-09T12:36:39.898Z"
62,0.64648926,0.7012598,-0.33012694,295,"2022-12-09T12:37:42.902Z"
85,0.3743457,0.56581545,0.671123,284,"2022-12-09T12:38:43.418Z"
93,0.088044435,0.6427832,0.6925708,284,"2022-12-09T12:39:43.980Z"
92,0.27343017,0.61595947,-0.7506567,282,"2022-12-09T12:40:44.542Z"
70,-0.16487549,0.8095581,0.48656493,283,"2022-12-09T12:41:45.089Z"
115,0.642561,0.81560546,0.20797852,279,"2022-12-09T12:42:45.637Z"
136,0.74646974,0.7064868,0.14942871,275,"2022-12-09T12:43:46.199Z"
113,-0.10802978,0.9385278,-0.27199218,274,"2022-12-09T12:44:46.761Z"
92,-0.06855957,0.9868823,0.033063963,276,"2022-12-09T12:45:47.323Z"
78,-0.25850585,0.94831055,0.08198974,277,"2022-12-09T12:46:47.885Z"
79,0.9996948,0.23059815,0.14255127,276,"2022-12-09T12:47:48.448Z"
84,1.1320239,0.16248535,0.23435302,276,"2022-12-09T12:48:49.010Z"
105,0.91142577,0.14226562,0.16773194,275,"2022-12-09T12:49:49.572Z"
107,0.9960693,0.17135498,0.44164795,275,"2022-12-09T12:50:50.135Z"
71,0.51067626,0.83010983,0.1227417,275,"2022-12-09T12:51:50.697Z"
90,0.7242163,0.3420874,0.28101075,273,"2022-12-09T12:52:51.259Z"
99,0.7675342,0.59339845,0.39256835,275,"2022-12-09T12:53:51.821Z"
98,0.5574707,0.40955567,0.4215039,275,"2022-12-09T12:54:52.383Z"
108,0.66076416,0.5975562,0.35454345,277,"2022-12-09T12:55:52.946Z"
120,0.8370996,0.41426513,0.07208252,277,"2022-12-09T12:56:53.508Z"
107,-0.20700684,0.77590334,0.56053466,279,"2022-12-09T12:57:54.070Z"
109,0.3052759,0.8853613,0.16123047,281,"2022-12-09T12:58:54.632Z"
112,0.49611083,-0.09097412,0.9583447,284,"2022-12-09T12:59:55.194Z"
120,1.0102271,-0.0023925782,0.11316162,286,"2022-12-09T13:00:55.757Z"
123,0.50341797,0.16147462,0.8555908,289,"2022-12-09T13:01:56.319Z"
116,0.32973143,0.24134034,0.90868896,288,"2022-12-09T13:02:56.866Z"
96,-0.0188208,0.9751172,-0.19930664,285,"2022-12-09T13:03:57.428Z"
113,0.19328125,0.3103467,0.81940675,283,"2022-12-09T13:04:57.990Z"
101,1.0125611,-0.015458984,0.08415039,287,"2022-12-09T13:05:58.553Z"
112,-0.056550294,0.9858594,-0.10694092,289,"2022-12-09T13:06:59.115Z"
99,-0.22384033,0.96110594,-0.05897217,289,"2022-12-09T13:07:59.677Z"
87,0.07085449,0.9853052,0.08248779,287,"2022-12-09T13:09:00.239Z"
101,0.36941162,0.011540527,0.874751,288,"2022-12-09T13:10:00.802Z"
104,1.0014893,-0.076801755,0.17033936,291,"2022-12-09T13:11:01.364Z"
111,-0.3898242,0.5510962,0.58693606,292,"2022-12-09T13:12:01.926Z"
102,0.09327149,0.6729834,-0.744104,290,"2022-12-09T13:13:02.488Z"
95,0.94792724,0.29232666,0.21640626,290,"2022-12-09T13:14:03.050Z"
111,0.42800048,0.15143798,0.8214502,288,"2022-12-09T13:15:03.613Z"
102,1.0064819,-0.022304688,0.09699951,291,"2022-12-09T13:16:04.175Z"
103,0.9828369,0.3402368,0.03829346,293,"2022-12-09T13:17:04.737Z"
90,0.3399707,0.49939698,0.78945804,291,"2022-12-09T13:18:05.299Z"
83,0.42604735,0.80363524,0.23909912,295,"2022-12-09T13:19:05.861Z"
107,0.61016357,-0.23324463,0.771958,293,"2022-12-09T13:20:06.423Z"
95,0.9942529,-0.122241214,0.16200684,295,"2022-12-09T13:21:06.986Z"
120,0.93819094,0.27810058,0.26720458,296,"2022-12-09T13:22:07.548Z"
104,-0.042019043,0.98288816,-0.025063477,293,"2022-12-09T13:23:08.110Z"
100,0.037233885,0.9400757,-0.35178956,293,"2022-12-09T13:24:08.672Z"
128,0.603772,-0.09727539,0.8670044,292,"2022-12-09T13:25:09.234Z"
117,0.99464846,-0.0643335,0.19243409,294,"2022-12-09T13:26:09.797Z"
120,0.11723389,0.9324878,-0.31530517,296,"2022-12-09T13:27:10.359Z"
125,0.9756543,0.33151856,0.34025392,294,"2022-12-09T13:28:10.921Z"
116,0.7787061,0.37358153,-0.49528322,295,"2022-12-09T13:29:11.483Z"
122,0.93537354,0.3223535,0.29668212,295,"2022-12-09T13:30:12.045Z"
121,0.9830884,0.3780127,0.20772949,295,"2022-12-09T13:31:12.608Z"
122,0.2779126,0.84044677,0.29643068,293,"2022-12-09T13:32:13.155Z"
85,-0.09352051,0.83394533,0.52479494,292,"2022-12-09T13:33:13.717Z"
76,0.12082031,0.96315676,0.19950683,292,"2022-12-09T13:34:14.280Z"
77,0.02083252,0.98980224,0.0940625,297,"2022-12-09T13:35:14.841Z"
82,-0.03552002,0.77854735,-0.63994384,303,"2022-12-09T13:36:15.404Z"
98,0.9436719,-0.03723877,0.27198973,303,"2022-12-09T13:37:15.966Z"
94,-0.69901365,-0.40480956,0.061125487,301,"2022-12-09T13:38:16.528Z"
111,0.04841797,-0.8655591,0.4610376,301,"2022-12-09T13:39:17.090Z"
95,-0.22987793,0.9470068,0.15306397,300,"2022-12-09T13:40:17.652Z"
86,-0.032770995,0.95177,-0.18858398,298,"2022-12-09T13:41:18.215Z"
104,-0.44834474,-0.8000293,0.075827636,301,"2022-12-09T13:42:18.777Z"
121,-0.49325195,-0.68416995,0.17731689,301,"2022-12-09T13:43:19.339Z"
114,0.71808106,0.5255298,0.46729982,301,"2022-12-09T13:44:19.901Z"
82,-0.12525147,0.94700193,-0.27959472,300,"2022-12-09T13:45:20.463Z"
97,-0.09629883,0.96711916,0.21349122,303,"2022-12-09T13:46:21.026Z"
102,-0.060739744,-0.9626685,-0.030229492,303,"2022-12-09T13:47:21.588Z"
