"sport_name","created_at","updated_at","sport_id","activity_id","gps_enabled","intensity_score","max_heart_rate","average_heart_rate","distance","performance","energy","rpe","altitude_gain","altitude_change","cumulative_workout_intensity","zone_durations","projected_score","confidence","wac_prediction","kilojoules","user_id","during","timezone_offset","survey_response_id","percent_recorded","auto_detected","state","responded","team_act_id","source"
"Functional Fitness","2023-02-21T14:35:51.950+0000","2023-02-21T14:41:51.002+0000",48,611789779,false,6.3969,155,105,,,,,,,0,"[390328,572939,339341,382601,90362,0]",,,,642.4948120117188,6696318,"['2023-02-21T14:06:16.384Z','2023-02-21T14:35:51.454Z')","+0100",,1,false,"complete",false,,"user"
"Functional Fitness","2023-02-20T17:44:51.774+0000","2023-02-20T17:58:35.916+0000",48,611140288,false,8.14,154,102,,,,,,,0,"[769083,1721705,1026672,388366,79788,0]",,,,1313.064453125,6696318,"['2023-02-20T16:38:25.834Z','2023-02-20T17:44:51.255Z')","+0100",,1,false,"complete",false,,"user"
"Swimming","2023-02-19T14:19:11.041+0000","2023-02-19T14:19:24.475+0000",33,610300848,false,8.2564,169,98,,,,,,,0,"[1516892,534482,846913,479692,181685,40376]",,,,1190.2161865234375,6696318,"['2023-02-19T11:40:00.000Z','2023-02-19T12:40:00.000Z')","+0100",107527579,1,false,"complete",true,,"user"
"Running","2023-02-19T08:39:15.709+0000","2023-02-19T14:19:45.542+0000",0,610076697,true,12.1851,175,133,6962.444835879631,,,,234.16219,-5.084116,0,"[32723,261473,413363,651763,857492,151884]",,,,1703.275390625,6696318,"['2023-02-19T07:59:44.690Z','2023-02-19T08:39:13.694Z')","+0100",107527587,1,false,"complete",true,,"user"
"Functional Fitness","2023-02-18T08:50:18.619+0000","2023-02-18T10:07:48.972+0000",48,609395437,false,6.4433,144,111,,,,,,,0,"[63485,578706,980532,199952,0,0]",,,,779.0270385742188,6696318,"['2023-02-18T08:19:55.279Z','2023-02-18T08:50:17.472Z')","+0100",107473403,1,false,"complete",true,,"user"
"Functional Fitness","2023-02-17T14:28:00.096+0000","2023-02-17T14:39:44.298+0000",48,608992104,false,5.2207,122,90,,,,,,,0,"[1130654,1296799,172074,0,0,0]",,,,494.7389221191406,6696318,"['2023-02-17T13:39:29.278Z','2023-02-17T14:27:59.797Z')","+0100",,0.92835677,false,"complete",false,,"user"
"Skiing","2023-02-16T12:19:07.127+0000","2023-02-16T12:24:14.075+0000",29,608180339,false,11.0858,177,129,,,,,,,0,"[125009,272035,224945,547926,760398,64406]",,,,1360.428466796875,6696318,"['2023-02-16T11:45:51.580Z','2023-02-16T12:19:06.818Z')","+0100",107385531,1,false,"complete",true,,"user"
"Cycling","2023-02-14T12:28:25.699+0000","2023-02-14T12:42:34.355+0000",1,606768455,false,9.5261,164,124,,,,,,,0,"[102899,243210,571017,516221,435472,0]",,,,1134.226806640625,6696318,"['2023-02-14T11:57:16.304Z','2023-02-14T12:28:25.000Z')","+0100",107285637,1,false,"complete",true,,"user"
"Functional Fitness","2023-02-13T12:45:36.299+0000","2023-02-13T12:50:24.299+0000",48,606057569,false,6.5212,139,107,,,,,,,0,"[181726,812301,1100682,119202,0,0]",,,,819.7260131835938,6696318,"['2023-02-13T12:08:41.979Z','2023-02-13T12:45:35.153Z')","+0100",,1,false,"complete",false,,"user"
"Activity","2023-02-12T17:19:57.618+0000","2023-02-12T17:31:34.102+0000",-1,605577384,false,7.7387,144,103,,,,,,,0,"[689258,600854,983414,621006,0,0]",,,,1098.0126953125,6696318,"['2023-02-12T16:04:31.866Z','2023-02-12T17:19:57.449Z')","+0100",,1,true,"complete",false,,"auto+user"
"Swimming","2023-02-12T13:02:07.758+0000","2023-02-12T13:15:01.730+0000",33,605366148,false,6.9646,156,84,,,,,,,0,"[3155894,1533322,758467,170151,47104,0]",,,,1153.00537109375,6696318,"['2023-02-12T11:27:42.292Z','2023-02-12T13:02:07.001Z')","+0100",107192786,1,false,"complete",true,,"user"
"Functional Fitness","2023-02-11T09:28:48.551+0000","2023-02-11T09:43:20.730+0000",48,604547083,false,4.5405,141,98,,,,,,,0,"[142273,450852,118281,46142,0,0]",,,,196.07278442382812,6696318,"['2023-02-11T09:16:10.686Z','2023-02-11T09:28:47.743Z')","+0100",,1,false,"complete",false,,"user"
"Skiing","2023-02-11T09:00:51.967+0000","2023-02-11T09:52:32.290+0000",29,604536510,false,9.4433,163,121,,,,,,,0,"[130737,435495,363375,1018971,220109,0]",,,,1245.9383544921875,6696318,"['2023-02-11T08:24:41.873Z','2023-02-11T09:00:50.894Z')","+0100",107137803,1,false,"complete",true,,"user"
"Functional Fitness","2023-02-10T14:17:49.251+0000","2023-02-10T14:35:19.373+0000",48,604117472,false,5.5614,136,101,,,,,,,0,"[243211,915201,613285,32684,0,0]",,,,534.0142822265625,6696318,"['2023-02-10T13:47:43.871Z','2023-02-10T14:17:48.339Z')","+0100",,1,false,"complete",false,,"user"
"Functional Fitness","2023-02-09T14:41:29.279+0000","2023-02-09T14:53:38.957+0000",48,603438859,false,9.6619,164,107,,,,,,,0,"[800777,840180,659442,599840,427782,0]",,,,1374.83056640625,6696318,"['2023-02-09T13:46:01.265Z','2023-02-09T14:41:29.044Z')","+0100",,1,false,"complete",false,,"user"
"Functional Fitness","2023-02-07T14:23:24.066+0000","2023-02-07T20:07:40.537+0000",48,601973872,false,4.93,139,85,,,,,,,0,"[1266033,783465,188416,49012,0,0]",,,,403.4128112792969,6696318,"['2023-02-07T13:38:33.164Z','2023-02-07T14:23:23.617Z')","+0100",106949767,0.8842377,false,"complete",true,,"user"
"Functional Fitness","2023-02-06T15:03:58.227+0000","2023-02-06T15:19:45.475+0000",48,601258293,false,6.1348,150,105,,,,,,,0,"[145194,922839,458543,231676,8652,0]",,,,647.6631469726562,6696318,"['2023-02-06T14:34:23.961Z','2023-02-06T15:03:57.416Z')","+0100",,1,false,"complete",false,,"user"
"Running","2023-02-05T09:36:35.655+0000","2023-02-05T09:51:30.997+0000",0,600281310,true,12.5949,176,126,8031.476360440843,,,,281.32944,-4.890601,0,"[170192,539292,680602,820928,689257,183595]",,,,1942.84423828125,6696318,"['2023-02-05T08:45:07.936Z','2023-02-05T09:36:31.911Z')","+0100",106815968,1,false,"complete",true,,"user"
"Functional Fitness","2023-02-04T08:52:00.331+0000","2023-02-04T09:04:08.811+0000",48,599578879,false,6.2509,146,99,,,,,,,0,"[697946,1006426,570056,198030,0,0]",,,,715.4806518554688,6696318,"['2023-02-04T08:10:46.572Z','2023-02-04T08:51:58.724Z')","+0100",106765631,1,false,"complete",true,,"user"
"Functional Fitness","2023-02-03T13:57:27.913+0000","2023-02-03T14:18:16.662+0000",48,599150185,false,4.3958,129,103,,,,,,,0,"[34646,201874,210526,1923,0,0]",,,,147.9368896484375,6696318,"['2023-02-03T13:49:57.891Z','2023-02-03T13:57:27.003Z')","+0100",,1,false,"complete",false,,"user"
"Skiing","2023-02-03T13:42:38.170+0000","2023-02-03T13:58:01.573+0000",29,599136980,false,12.0436,178,148,,,,,,,0,"[56756,22110,58640,114393,897866,215329]",,,,1253.908935546875,6696318,"['2023-02-03T13:19:52.215Z','2023-02-03T13:42:37.184Z')","+0100",,1,false,"complete",false,,"user"
"Commuting","2023-02-03T08:09:16.719+0000","2023-02-03T08:28:36.050+0000",89,598889967,false,6.8016,144,121,,,,,,,0,"[0,58640,952677,367220,0,0]",,,,774.2184448242188,6696318,"['2023-02-03T07:46:17.648Z','2023-02-03T08:09:16.125Z')","+0100",106718912,1,true,"complete",true,,"user"
"Cycling","2023-02-02T08:54:36.685+0000","2023-02-02T09:08:10.281+0000",1,598205767,false,4.4874,117,84,,,,,,,0,"[909381,374949,136505,0,0,0]",,,,243.4532012939453,6696318,"['2023-02-02T08:26:54.319Z','2023-02-02T08:50:35.000Z')","+0100",106669859,1,true,"complete",true,,"user"
"Cycling","2023-01-31T13:36:14.876+0000","2023-01-31T13:45:31.912+0000",1,596996760,false,12.4422,173,141,,,,,,,0,"[28878,10575,406631,361450,710407,282624]",,,,1501.1087646484375,6696318,"['2023-01-31T13:04:37.880Z','2023-01-31T13:34:37.880Z')","+0100",106569913,1,false,"complete",true,,"external"
"Cycling","2023-01-31T13:03:02.099+0000","2023-01-31T13:36:32.504+0000",1,596961285,false,2.6978,96,86,,,,,,,0,"[52910,14420,0,0,0,0]",,,,8.79151725769043,6696318,"['2023-01-31T13:01:52.611Z','2023-01-31T13:02:59.211Z')","+0100",106569474,1,false,"complete",true,,"external"
"Functional Fitness","2023-01-30T14:52:14.278+0000","2023-01-30T15:09:09.318+0000",48,596326587,false,5.5213,131,100,,,,,,,0,"[109589,1201640,406633,5769,0,0]",,,,533.316650390625,6696318,"['2023-01-30T14:23:28.397Z','2023-01-30T14:52:12.602Z')","+0100",,1,false,"complete",false,,"user"
"Basketball","2023-01-29T13:49:14.783+0000","2023-01-29T13:59:17.074+0000",17,595550355,false,6.1167,142,88,,,,,,,0,"[1206438,748898,580628,213410,0,0]",,,,731.2537841796875,6696318,"['2023-01-29T13:03:25.534Z','2023-01-29T13:49:14.117Z')","+0100",106469184,1,true,"complete",true,,"user"
"Running","2023-01-29T09:30:35.927+0000","2023-01-29T09:36:54.026+0000",0,595379086,true,12.7331,177,130,8013.291422750686,,,,308.21237,0.010064,0,"[91362,422014,463350,828647,864213,150926]",,,,1922.72021484375,6696318,"['2023-01-29T08:43:31.477Z','2023-01-29T09:30:32.332Z')","+0100",,1,false,"complete",false,,"user"
"Cycling","2023-01-28T12:32:48.371+0000","2023-01-28T12:39:52.256+0000",1,594797615,false,6.3947,135,103,,,,,,,0,"[316308,1096822,896896,14420,0,0]",,,,815.2503662109375,6696318,"['2023-01-28T11:54:03.973Z','2023-01-28T12:32:47.763Z')","+0100",106414721,1,true,"complete",true,,"user"
